Index;Element;X;Y;Z;FragmentID
1065;H;115.84177295586153;108.4054622170975;103.30368167620588;31
1066;H;115.11173563213565;106.96593857917782;102.59292515353357;31
1067;C;116.60656135729087;105.07742598144168;103.85305189395983;31
1068;H;117.59781463689042;106.90073007383262;104.35239661811107;31
1069;H;115.9621183805236;106.75671729922654;105.00094192101558;31
1070;N;115.26865525088004;104.52146691760974;103.89331127186024;31
1071;H;117.06171605709899;104.87157761253307;102.8773991875541;31
1072;H;117.21778698805252;104.55807268681615;104.60058091469801;31
1073;C;115.03405166791656;103.21499485318826;103.96942029593916;31
1074;H;114.48439580700884;105.16551894710817;103.84462642186683;31
1075;O;118.4662857364339;111.6252878539528;99.86912849395651;30
1076;C;113.57498794755466;102.81625568330219;104.0544700356966;31
1077;C;113.07158023356642;102.29254315626125;102.70589518217436;31
1078;H;113.49308895138077;102.02306566739202;104.79924200349124;31
1079;H;112.97865153697595;103.67346225372773;104.36284379353803;31
1080;C;112.93413371309867;103.41127872736625;101.67596468639812;31
1081;H;113.76122359328316;101.52945106560622;102.33711374186926;31
1082;H;112.09734976489979;101.8224503432463;102.8519451971945;31
1083;C;112.31621650563969;102.88759821377651;100.37814816144942;31
1084;H;112.30417909140604;104.20204969261772;102.08599393034739;31
1085;H;113.91617342147454;103.83946233640725;101.46437541616135;31
1086;C;112.12820209909124;103.99163631713033;99.35737893782868;31
1087;H;112.9663723784743;102.12810204206285;99.93961472745065;31
1088;H;111.34728502231978;102.43440498011299;100.59276023922251;31
1089;N;111.09579143813673;104.80605522981709;99.57804815606883;31
1090;C;110.71010451960109;105.83617547483219;98.63960286785318;32
1091;H;110.56848935010976;104.7751841206972;100.44691812811763;31
1092;O;115.93850118288842;102.37440198742048;103.97884717989669;31
1093;C;109.19505125689153;106.01216692450784;98.60026413114498;32
1094;H;111.18246079186223;106.7869076333708;98.90991145273995;32
1095;H;111.09001508164793;105.53476602543547;97.65917559530925;32
1096;C;108.78713789888454;106.87159085906917;97.40601901346297;32
1097;H;108.71601155273711;105.03404366275201;98.53197638591483;32
1098;H;108.87403103241012;106.47578253258204;99.53371712284842;32
1099;C;107.337089923672;107.34885064467596;97.47391651697893;32
1100;H;109.44642827810884;107.74085075140911;97.3661273229983;32
1101;H;108.93845372810519;106.29741730153091;96.48954116839923;32
1102;C;106.9003020739606;108.00174137569502;96.15805857249275;32
1103;H;106.68159253278523;106.50627348393212;97.70061446329899;32
1104;H;107.23722140976963;108.06941027882488;98.28779213760372;32
1105;C;105.8206246289672;109.06590136119249;96.35358427491053;32
1106;N;106.2877020445808;110.1679142698028;97.16913294931018;32
